Discordant_nerve_Is RNA present in nerve?,Discordant_nerve_Is protein present in glia?,Discordant_nerve_Is protein present in nerve?,Discordant_nerve_Is RNA present in glia?,Discordant_VNC_Is protein present in neuropil?,Discordant_VNC_Is RNA present in midline glia?,Discordant_VNC_Is RNA present in neuropil?,Discordant_VNC_Is protein present in soma?,Discordant_VNC_Is RNA present in soma?,Discordant_VNC_Is protein present in midline glia?,Discordant_CB_Is protein present in NBs?,Discordant_CB_Is RNA present in anlagen?,Discordant_CB_Is RNA present in other cells?,Discordant_CB_Is protein present in other cells?,Discordant_CB_Is RNA present in NBs?,Discordant_CB_Is protein present in anlagen?,Discordant_MB_Is protein present in MB calyx?,Discordant_MB_Is protein present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB calyx?,Discordant_MB_Is protein present in MB lobes?,Discordant_MB_Is RNA present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB lobes?,Discordant_NMJ_Is RNA present in neuron?,Discordant_NMJ_Is RNA present in post synaptic density?,Discordant_NMJ_Is protein present in neuron?,Discordant_NMJ_Is protein present in muscle?,Discordant_NMJ_Is RNA present in axon terminal?,Discordant_NMJ_Is protein present in post synaptic density?,Discordant_NMJ_Is RNA present in muscle?,Discordant_NMJ_Is protein present in axon terminal?,Discordant_OL_Is RNA present in neuropil?,Discordant_OL_Is protein present in soma?,Discordant_OL_Is protein present in neuropil?,Discordant_OL_Is RNA present in soma?,FBgn_ID,CPTI,gene_name
3,3,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3,3,2,3,3,2,3,2,3,2,2,2,FBgn0030521,CPTI002807,CtsB
3,3,3,2,3,3,2,3,3,2,3,2,3,3,2,2,2,2,3,3,2,2,0,2,3,2,2,3,3,3,2,3,2,3,FBgn0026533,CPTI000365,Dek
3,2,3,3,3,2,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3,3,2,0,3,2,3,2,3,3,0,2,2,0,FBgn0032409,CPTI000286,Ced-12
3,3,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,FBgn0001098,CPTI001709,Gdh
3,3,2,3,2,0,3,2,2,0,3,3,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,3,2,3,2,2,3,3,FBgn0001215,CPTI003669,Hrb98DE
2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,2,2,3,3,3,FBgn0000711,CPTI002264,flw
3,2,3,3,3,0,2,3,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,3,3,2,0,2,3,2,2,3,3,2,FBgn0020443,CPTI000609,Elf
3,2,3,3,2,0,2,2,2,0,3,3,2,2,3,3,2,2,3,2,3,2,2,2,3,3,3,2,3,3,2,3,3,2,FBgn0027087,CPTI003426,Aats-his
3,2,3,3,3,2,2,3,3,2,2,3,2,2,3,2,2,2,3,2,3,2,2,3,2,2,2,3,3,3,2,3,3,3,FBgn0250823,CPTI002023,Gish
3,3,3,3,3,3,0,3,2,0,3,2,3,3,2,2,3,2,3,2,3,3,0,2,3,2,2,2,2,2,3,3,3,3,FBgn0004167,CPTI001728,kst
2,3,2,3,3,0,3,3,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,2,2,2,3,3,3,2,2,3,2,3,FBgn0005671,CPTI002645,Vha55
3,2,2,2,3,0,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,3,2,0,2,2,2,3,2,2,3,3,3,3,FBgn0021764,CPTI000337,sdk
2,3,3,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,2,3,3,3,2,0,2,3,2,2,3,2,2,3,3,3,FBgn0045823,CPTI001718,vsg
3,2,2,0,3,3,2,2,3,2,2,2,2,2,3,3,2,2,3,2,2,3,3,0,3,3,2,3,2,3,3,2,3,3,FBgn0010238,CPTI002408,Lac
0,3,2,2,3,0,2,2,3,0,3,2,2,2,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,2,2,3,2,3,FBgn0026418,CPTI002201,Hsc70Cb
2,3,3,0,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,FBgn0001250,CPTI004152,if
3,2,3,3,3,2,3,3,3,0,3,3,2,2,3,3,2,3,3,2,3,2,0,0,2,2,0,3,2,2,2,3,2,3,FBgn0015790,CPTI100051,Rab11
3,2,2,3,2,0,2,3,3,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3,FBgn0016685,CPTI003532,Nlp
2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,FBgn0265523,CPTI001328,Smr
3,2,2,3,3,2,3,3,2,2,3,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,2,3,3,2,3,3,3,FBgn0264307,CPTI004362,orb2
3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,2,2,3,3,2,FBgn0005777,CPTI001194,PpD3
3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,FBgn0028327,CPTI000633,l(1)G0320
2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,3,3,3,2,3,2,3,2,2,3,2,3,2,3,FBgn0004839,CPTI000252,otk
0,2,3,2,2,2,2,3,3,0,2,2,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,2,3,3,2,3,2,3,FBgn0036213,CPTI003957,RpL10Ab
3,3,3,3,3,2,3,3,3,0,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,3,3,2,3,2,3,3,3,FBgn0261617,CPTI000727,nej
2,2,3,3,3,2,3,3,3,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,2,FBgn0030400,CPTI001659,Pits
3,3,3,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,3,FBgn0022986,CPTI002103,qkr58E-1
2,3,3,2,2,2,3,2,3,0,3,3,2,2,3,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,3,FBgn0015513,CPTI000332,mbc
2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,3,3,2,2,0,3,3,2,2,3,3,3,3,3,3,3,FBgn0001235,CPTI003745,hth
2,3,3,2,2,0,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,3,3,2,3,2,2,3,FBgn0037707,CPTI004189,RnpS1
3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,2,2,3,3,3,2,2,3,3,2,2,2,3,FBgn0032949,CPTI001775,Lamp
3,3,2,3,2,0,2,3,2,0,3,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,3,3,2,FBgn0261618,CPTI003605,larp
